12.0	10.0	-6.0	rNAc
-10.0	8.0	-4.0	lPall
36.0	20.0	-6.0	rIns
-32.0	20.0	-4.0	lIns
0.0	24.0	40.0	dmPFC
0.0	54.0	-8.0	medOFC
24.0	-2.0	-16.0	rAm
6.0	-14.0	8.0	rTh
-6.0	-16.0	8.0	lTh
0.0	8.0	48.0	SMA
8.0	-18.0	-10.0	rBrainStem
-6.0	-18.0	-10.0	lBrainStem
2.0	44.0	20.0	ACC
-24.0	2.0	52.0	lMFG
-38.0	-4.0	6.0	lIns(Id3)
24.0	40.0	-14.0	rMidOFC(Fo3)
-16.0	42.0	-14.0	lMidOFC(Fo3)
40.0	32.0	32.0	raMFG
-28.0	-56.0	48.0	lIPL(IPS)
28.0	-58.0	50.0	rAG
0.0	-32.0	32.0	PCC
-36.0	50.0	10.0	lFP
-46.0	42.0	-4.0	lLOFC
30.0	4.0	50.0	rpMFG
-22.0	30.0	48.0	lSFG
