-32.0	22.0	-2.0	aIns_l
-48.0	10.0	26.0	IFG_l
-46.0	26.0	24.0	lPFCc_l
-38.0	50.0	10.0	lPFCr_l
36.0	22.0	-6.0	aIns_r
50.0	14.0	24.0	IFG_r
44.0	34.0	32.0	lPFCc_r
38.0	54.0	6.0	lPFCr_l
2.0	18.0	48.0	pmFC
-28.0	0.0	56.0	psFC
30.0	2.0	56.0	psFC
-42.0	-42.0	46.0	IPS_l
-34.0	-52.0	48.0	SPL_l
-24.0	-66.0	54.0	SPLp_l
42.0	-44.0	44.0	IPSa_r
32.0	-58.0	48.0	IPSp_r
16.0	-66.0	56.0	SPLp_r
-12.0	-12.0	12.0	Thal_l
-16.0	2.0	14.0	Ncaud_l
-16.0	0.0	2.0	GP_l
12.0	-10.0	10.0	Thal_r
-34.0	-66.0	-20.0	Cb_FG_l
32.0	-64.0	-18.0	Cb_FG_r
